cancer_type,tcga_abbrev,rank,gene_index,gene_symbol,importance_score,known_biomarker
colorectal cancer (COAD+READ),CRC,7,40,gene_40,0.006422,
colorectal cancer (COAD+READ),CRC,8,39,gene_39,0.006340,
colorectal cancer (COAD+READ),CRC,9,45,gene_45,0.006291,
colorectal cancer (COAD+READ),CRC,10,25,gene_25,0.006085,
cervical & endocervical cancer,CESC,1,50,gene_50,0.112313,
cervical & endocervical cancer,CESC,2,51,gene_51,0.096589,
cervical & endocervical cancer,CESC,3,49,gene_49,0.091249,
cervical & endocervical cancer,CESC,4,45,gene_45,0.073439,
cervical & endocervical cancer,CESC,5,46,gene_46,0.069422,
cervical & endocervical cancer,CESC,6,37,gene_37,0.060316,
cervical & endocervical cancer,CESC,7,61,gene_61,0.057669,
cervical & endocervical cancer,CESC,8,47,gene_47,0.057065,
cervical & endocervical cancer,CESC,9,54,gene_54,0.055121,
cervical & endocervical cancer,CESC,10,52,gene_52,0.055106,
breast invasive carcinoma,BRCA,1,37,gene_37,0.017376,
breast invasive carcinoma,BRCA,2,24,gene_24,0.016948,
breast invasive carcinoma,BRCA,3,36,gene_36,0.016864,
breast invasive carcinoma,BRCA,4,50,gene_50,0.016542,
breast invasive carcinoma,BRCA,5,64,gene_64,0.015937,
breast invasive carcinoma,BRCA,6,53,gene_53,0.015180,
breast invasive carcinoma,BRCA,7,41,gene_41,0.014830,
breast invasive carcinoma,BRCA,8,55,gene_55,0.014744,
breast invasive carcinoma,BRCA,9,49,gene_49,0.014429,
breast invasive carcinoma,BRCA,10,45,gene_45,0.014345,
bladder urothelial carcinoma,BLCA,1,50,gene_50,0.077330,
bladder urothelial carcinoma,BLCA,2,35,gene_35,0.071475,
bladder urothelial carcinoma,BLCA,3,51,gene_51,0.070864,
bladder urothelial carcinoma,BLCA,4,46,gene_46,0.063773,
bladder urothelial carcinoma,BLCA,5,24,gene_24,0.061164,
bladder urothelial carcinoma,BLCA,6,42,gene_42,0.061004,
bladder urothelial carcinoma,BLCA,7,47,gene_47,0.060776,
bladder urothelial carcinoma,BLCA,8,57,gene_57,0.059981,
bladder urothelial carcinoma,BLCA,9,64,gene_64,0.058560,
bladder urothelial carcinoma,BLCA,10,27,gene_27,0.058325,
testicular germ cell tumor,TGCT,1,35,gene_35,0.004822,
testicular germ cell tumor,TGCT,2,14,gene_14,0.004265,
testicular germ cell tumor,TGCT,3,62,gene_62,0.004091,
testicular germ cell tumor,TGCT,4,36,gene_36,0.004054,
testicular germ cell tumor,TGCT,5,22,gene_22,0.003661,
testicular germ cell tumor,TGCT,6,74,gene_74,0.003618,
testicular germ cell tumor,TGCT,7,81,gene_81,0.003580,
testicular germ cell tumor,TGCT,8,16624,gene_16624,0.003548,
testicular germ cell tumor,TGCT,9,16605,gene_16605,0.003406,
testicular germ cell tumor,TGCT,10,24,gene_24,0.003391,
kidney papillary cell carcinoma,KIRP,1,36,gene_36,0.033795,
kidney papillary cell carcinoma,KIRP,2,50,gene_50,0.030792,
kidney papillary cell carcinoma,KIRP,3,48,gene_48,0.030728,
kidney papillary cell carcinoma,KIRP,4,38,gene_38,0.030712,
kidney papillary cell carcinoma,KIRP,5,41,gene_41,0.030512,
kidney papillary cell carcinoma,KIRP,6,66,gene_66,0.029853,
kidney papillary cell carcinoma,KIRP,7,28,gene_28,0.027569,
kidney papillary cell carcinoma,KIRP,8,44,gene_44,0.027337,
kidney papillary cell carcinoma,KIRP,9,20,gene_20,0.026579,
kidney papillary cell carcinoma,KIRP,10,47,gene_47,0.026437,
kidney clear cell carcinoma,KIRC,1,36,gene_36,0.023287,
kidney clear cell carcinoma,KIRC,2,43,gene_43,0.018901,
kidney clear cell carcinoma,KIRC,3,32,gene_32,0.018760,
kidney clear cell carcinoma,KIRC,4,29,gene_29,0.017885,
kidney clear cell carcinoma,KIRC,5,58,gene_58,0.017673,
kidney clear cell carcinoma,KIRC,6,41,gene_41,0.017408,
kidney clear cell carcinoma,KIRC,7,38,gene_38,0.016991,
kidney clear cell carcinoma,KIRC,8,18,gene_18,0.016582,
kidney clear cell carcinoma,KIRC,9,40,gene_40,0.016484,
kidney clear cell carcinoma,KIRC,10,28,gene_28,0.016047,
acute myeloid leukemia,LAML,1,104,gene_104,0.007724,
acute myeloid leukemia,LAML,2,94,gene_94,0.007618,
acute myeloid leukemia,LAML,3,93,gene_93,0.007067,
acute myeloid leukemia,LAML,4,86,gene_86,0.006481,
